"","run_id","response","music","correct","incorrect","total"
"33",14,"Heart, Liver, Bone, Brain, Bladder, Medication, Gloves, Injury, Coffee, Alcohol, Wheelchair, Hospital, Virus","metal_2",12,1,13
"34",11,"Heart, Liver, Bone, Muscle, Stethoscope, Medication, Coat, Injury, EEG, Virus","metal_2",8,2,10
"35",12,"Heart, Liver, Bone, Muscle, Stethoscope, Brain, Medication, Vaccin, Blood, Gloves, Injury, Coffee, Scissors, Alcohol, Wheelchair, Hospital, Virus","metal_2",17,0,17
"36",10,"Heart, Liver, Bone, Muscle, Brain, Medication, Coat, Gloves, Coffee, Alcohol, Wheelchair, Hospital, Bandage","metal_2",11,2,13
"37",1,"Heart","metal_2",1,0,1
"38",15,"Heart, Brain, Medication, Vaccin, Nerves, Gloves, Scissors, Virus, Bandage","metal_2",7,2,9
"39",3,"Heart, Liver, Bone, Muscle, Stethoscope, Brain, Medication, Coat, Vaccin, Gloves, Injury, Coffee, Scissors, Alcohol, Wheelchair, Hospital, Virus","metal_2",16,1,17
"40",2,"Heart, Bone, Stethoscope, Kidney, Brain, Medication, Coat, Intestines, Vaccin, Nerves, Blood, Surgery, Gloves, CPR, Brokenbone, Coffee, Scissors, Wheelchair, Hospital, Virus","metal_2",13,7,20
"41",5,"Muscle, Stethoscope, Gloves, Injury, Coffee, Wheelchair, Hospital","metal_2",7,0,7
"42",6,"Heart, Liver, Bone, Stethoscope, Brain, Blood, Gloves, Injury, Coffee, Scissors, Alcohol, Wheelchair, Hospital, Bandage","metal_2",13,1,14
"43",7,"Brain, Intestines, EEG, MRI","metal_2",1,3,4
"44",8,"Heart, Liver, Bone, Muscle, Stethoscope, Medication, Vaccin, Blood, Gloves, Coffee, Scissors, Alcohol, Wheelchair, Hospital, Virus","metal_2",15,0,15
"45",9,"Heart, Liver, Muscle, Kidney, Brain, Intestines, Blood, Surgery, Brokenbone, Coffee, Alcohol, Virus, Bandage","metal_2",8,5,13
"46",16,"Desk, Spatula, Washing machine, Lamp, Tape, Bottle, Glass, Mixer, Mirror, Curtains, Pillow","classical_2",9,2,11
"47",4,"Bed, Desk, Cutlery, Toilet, Lamp, Sink, Glass, Mixer, Mirror, Curtains, Blanket, Pillow","classical_2",11,1,12
"48",14,"Bed, Spatula, Lamp, Pan, Tape, Bottle, Mixer, Blanket, Pillow","classical_2",8,1,9
"49",11,"Bed, Cutlery, Lamp, Pan, Pot, Bottle, Glass, Pillow","classical_2",8,0,8
"50",12,"Bed, Spatula, Cutlery, Toilet, Lamp, Sink, Window, Pot, Bottle, Chair, Mirror, Curtains, Pillow","classical_2",10,3,13
"51",10,"Bed, Desk, Spatula, Cutlery, Lamp, Sink, Pan, Pot, Bottle, Glass, Mixer, Mirror, Curtains","classical_2",13,0,13
"52",1,"Bed, Desk, Spatula, Cutlery, Pan, Pot, Bottle, Oven, Mixer, Chair","classical_2",8,2,10
"53",15,"Bed, Desk, Cutlery, Toilet, Lamp, Pot, Bottle, Glass, Hanger, Curtains, Blanket, Pillow","classical_2",10,2,12
"54",3,"Bed, Desk, Spatula, Cutlery, Bag, Lamp, Sink, Pan, Window, Pot, Bottle, Glass, Mixer, Mirror, Curtains","classical_2",13,2,15
"55",2,"Bed, Desk, Wardrobe, Spatula, Washing machine, Cutlery, Lamp, Window, Pot, Bottle, Glass, Hanger, Chair, Fridge, Mirror, Curtains, Blanket, Pillow","classical_2",12,6,18
"56",5,"Bed, Desk, Spatula, Pan, Bottle, Mixer","classical_2",6,0,6
"57",6,"Bed, Desk, Spatula, Cutlery, Toilet, Lamp, Pan, Bottle, Glass, Fridge, Mirror","classical_2",9,2,11
"58",7,"Desk, Cutlery, Pan, Pot, Mixer","classical_2",5,0,5
"59",8,"Bed, Desk, Cutlery, Toilet, Sink, Pan, Bottle, Oven, Glass, Mixer, Chair, Fridge, Pillow","classical_2",9,4,13
"60",9,"Bed, Spatula, Cutlery, Toilet, Bottle, Toothbrush, Hanger, Mirror, Pillow","classical_2",6,3,9
