track_id,duration,release_year,us_popularity_estimate,acousticness,beat_strength,bounciness,danceability,dyn_range_mean,energy,flatness,instrumentalness,key,liveness,loudness,mechanism,mode,organism,speechiness,tempo,time_signature,valence,acoustic_vector_0,acoustic_vector_1,acoustic_vector_2,acoustic_vector_3,acoustic_vector_4,acoustic_vector_5,acoustic_vector_6,acoustic_vector_7
t_12abfb8c-0f5a-4a12-927b-75f4656913da,228.8000031,1983,93.78015065,0.498870939,0.649861991,0.620427251,0.731781185,8.475207329,0.538534045,0.974637032,0.000103736,0,0.099438988,-11.0909996,0.540462434,major,0.479607642,0.0261635,104.814003,4,0.830949306,0.188576519,-0.219528601,0.210603267,-0.069623969,0.574465692,0.089391902,-0.403652042,-0.731885493
t_6da78bf1-96f7-48ae-86c8-71d620c0a508,172.7733307,1985,94.16052589,0.717756748,0.713017702,0.741762221,0.674633563,10.67108917,0.252194703,1.023666143,2.03E-05,0,0.132600531,-13.71500015,0.188888893,major,0.765857697,0.042096358,75.78299713,4,0.482274681,-0.197464556,-0.377791762,0.496247709,0.300863594,0.277929634,0.03373953,-0.406009138,-0.396863699
t_63eae5ac-744a-46ee-b719-0db8e70d6f7f,164.9066772,1983,99.77374061,0.005023612,0.33858034,0.331703454,0.348845601,6.060781956,0.886673808,0.904784381,2.00E-10,0,0.381728292,-7.631000042,0.185454547,major,0.575981557,0.137590021,101.1910019,4,0.387130797,0.13231121,0.248023137,-0.510729432,-0.387413144,0.602931261,0.033381261,-0.312206477,0.365894437
t_2dcdc7fe-30bd-469c-a3a1-54984a90d2cf,324.1268616,1986,92.5009719,0.484682441,0.683864295,0.695929945,0.793601811,9.816472054,0.833364606,0.935847878,0.167878658,0,0.163452908,-6.68200016,0.62043798,major,0.435307026,0.061037954,116.6729965,4,0.933781862,-0.296959102,-0.033765446,0.381806552,0.146634996,-0.11102362,0.042879321,-0.06132884,-0.034691207
t_e67c9595-ad8f-430b-8f14-30b807ec1c16,141.4666748,1981,98.41232256,0.969848812,0.302066654,0.302321911,0.28579396,5.87188673,0.314757317,0.975762665,0.907323062,0,0.122348957,-15.20499992,0.28295821,major,0.852864504,0.050394312,163.8249969,4,0.181353182,0.652206898,-0.911701858,-0.551282883,0.680266917,-0.274983823,-0.750417471,0.299400479,-0.48323077
t_1ca5e316-188e-46c9-af3e-dc90f117723b,210.1066742,1988,96.44308291,0.570141017,0.421457261,0.54929328,0.448343903,9.153624535,0.51124239,1.00511837,1.39E-09,0,0.088226415,-5.836999893,0.28315413,major,0.647660732,0.05448268,182.996994,3,0.507463813,-0.238081813,0.125203237,0.337156743,0.472221047,0.474702686,-0.164559051,0.706750214,-0.347649902
t_0dd6804b-d20f-4b49-b2a7-950e48a4293b,159.6666718,1973,97.89503141,0.592107713,0.23546946,0.241416246,0.327566803,5.396745205,0.511960208,0.97697705,1.13E-07,0,0.068031177,-8.637000084,0.23131673,major,0.686099648,0.03459394,121.7850037,4,0.54475373,0.037514329,-0.238568753,0.004481667,0.097626217,0.615972221,-0.084929645,-0.218407527,-0.552424192
t_3c422bec-1701-4cbd-a145-259a042b25e9,250.2266693,1973,99.47516397,0.55967927,0.271437287,0.350827277,0.474569708,6.842741489,0.662817538,0.94013834,0.000599168,0,0.079795234,-9.949999809,0.265873015,major,0.652756989,0.038069721,138.4589996,4,0.743001223,0.09909451,-0.097630978,-0.021369111,-0.129867986,0.700813115,0.069010183,-0.327999353,-0.272310942
t_c520707e-13c6-454b-a7c1-542d9b9d10b4,390.519989,1985,91.74722427,0.015353167,0.308425456,0.320342928,0.370144218,6.121930599,0.417445749,0.958092034,0.053566772,0,0.296057314,-13.70600033,0.138627186,major,0.609179318,0.074480236,134.1289978,3,0.331482083,0.268714219,-0.170195818,-0.364785254,-0.189575627,0.396995604,-0.028197646,-0.22428678,-0.061369754
t_7a042ab9-ec69-4b78-90a0-d20a76bf8580,207.1600037,1961,98.23833206,0.814397097,0.220532253,0.226956487,0.276830435,5.275232315,0.163646162,1.034192324,4.99E-08,0,0.171896815,-11.77799988,0.154150203,major,0.830272436,0.035831388,83.83000183,4,0.085194886,0.004723093,-0.513623953,0.357131183,0.49656108,0.230078027,-0.233403131,-0.132808745,-0.639374495
t_a0747d21-6042-4af7-a21d-aa7cd1a8094e,89.80000305,1989,98.45078518,0.962716579,0.130125001,0.092334814,0.170027003,3.023645639,0.005673598,1.072822332,0.960451066,0,0.092290223,-34.58599854,0.205882356,major,0.882452846,0.039091747,77.87799835,3,0.030857969,0.687071621,-0.791696608,-0.449774832,0.440507621,-0.415167421,-0.484079927,0.218348488,-0.206493422
t_c09a5b10-897d-4a65-be67-fbea7157137e,221.3333282,1988,94.04112676,0.000346041,0.47442776,0.409252971,0.532218933,6.119112015,0.751163423,0.986106157,2.70E-07,0,0.337226361,-9.383999825,0.381410271,major,0.437409073,0.025834067,100.8809967,4,0.712146163,-0.118186153,0.198381424,0.058429904,0.024066368,0.751860857,0.050433777,0.274917901,-0.124449268
t_436cd99a-3e47-480a-a60e-cad3d4ceb201,161.0933228,1969,97.17472667,0.199620381,0.495855629,0.469753563,0.603238583,7.07931757,0.518328547,0.984960735,5.71E-07,0,0.349208325,-12.00800037,0.397306383,major,0.448936462,0.034821287,128.8099976,4,0.865581393,-0.278744608,-0.428829402,0.331189871,0.453573734,0.463844746,-0.094389081,-0.327323973,-0.346323729
t_86e26a8c-1319-4c31-8c30-b798070e8075,166.8000031,1959,95.59800869,0.907268345,0.531587124,0.541535974,0.584572196,8.092764854,0.69831413,0.91061151,3.18E-06,0,0.361724436,-13.15200043,0.260714293,major,0.827550352,0.864816427,114.3759995,4,0.519426405,0.029172832,-0.336817831,-0.217067823,0.358177334,0.374517322,-0.393238276,-0.077735238,-0.689791381
t_c00782ec-de1c-4588-a627-7a7a34ea8347,284.0933228,1989,99.54491265,0.000303183,0.726038754,0.755993545,0.710722804,10.91098499,0.954035759,0.877805889,0.834433854,0,0.070024312,-7.914000034,0.940573752,major,0.042021237,0.070691466,124.9820023,4,0.89672935,-0.055588309,0.112151481,0.190324947,-0.153684512,-0.357692391,0.174996093,0.156037599,0.347609967
t_942cb6a0-568c-4ba1-ba02-bebb72657168,169.0666656,1968,92.33832203,0.881244481,0.562692881,0.653119326,0.689150572,10.14091206,0.375614196,0.992490828,1.38E-08,0,0.395722121,-12.54500008,0.263698637,major,0.812013388,0.102638677,118.3600006,4,0.681898475,0.034660868,-0.532258689,-0.135501117,0.678993881,0.301053196,-0.572415233,0.157655701,-0.741168439
t_24d365e9-40e5-4478-86c5-f3fe64253497,149.1733246,1961,97.99670628,0.988959193,0.601301551,0.594858706,0.617350221,8.463121414,0.01779763,1.068139791,0.841276228,0,0.090516947,-20.28100014,0.23863636,major,0.88252902,0.039021466,82.35500336,3,0.128653511,0.548799753,-0.934467852,0.048753023,0.602237999,-0.018360373,-0.260999352,-0.012859091,-0.084836841
t_64d21415-d39f-4bbd-9262-49d11b762e90,246.3999939,1989,99.40346434,0.234479129,0.331577599,0.310545176,0.443131775,5.747063637,0.347823292,1.018552899,7.16E-07,0,0.074555784,-15.01599979,0.409001946,major,0.449588239,0.038585249,147.0110016,4,0.380793542,-0.047399949,-0.191927209,0.490497619,0.237866595,0.105597384,-0.024450466,-0.048364095,-0.549142957
t_0a58d839-eb3e-4b78-bf91-88dbbe810c4a,320.6533203,1978,92.24116025,0.839542091,0.525827348,0.576380134,0.545305252,8.825331688,0.351192266,1.007528424,0.00301843,0,0.693971694,-20.36300087,0.162454873,major,0.83854419,0.112016805,118.8759995,4,0.348273009,0.228993624,-0.36479342,0.269887269,0.147585362,0.228067964,-0.028549293,-0.094137371,-0.539687634
t_a4e649e1-6dc4-4e06-999b-e8ce165ebc5c,271.5333252,1990,95.37471835,0.240105316,0.546388507,0.508517623,0.63164854,7.307744026,0.876385927,0.914783418,4.68E-05,0,0.973092675,-10.82499981,0.401622713,major,0.455908954,0.095993876,120.9580002,4,0.644349396,-0.018351119,-0.083129503,0.339678824,0.041362092,0.239746898,0.002845921,-0.171488464,-0.639549434
t_3c2c29b5-c738-42c0-83e1-ee0e88ac834d,182.293335,1969,99.98781015,0.198283926,0.336354166,0.353214502,0.395759493,6.443376064,0.338416934,1.021726131,2.62E-06,0,0.138143495,-10.87199974,0.245664746,major,0.551515281,0.030351836,133.5220032,4,0.37741062,0.083736613,-0.30612874,0.045954101,0.078400008,0.666639566,-0.032502681,-0.299952209,-0.584206998
t_b8878c03-5884-46f3-af63-21c74f7ece2d,549.244812,1980,95.47968717,0.380754381,0.500456095,0.521112144,0.504601836,7.992422104,0.544759095,0.973436117,0.000690889,0,0.864518404,-9.930000305,0.179138318,major,0.639838934,0.10374558,117.0699997,4,0.550258577,-0.176968008,-0.336468905,0.06435822,0.352056265,0.5992226,-0.09182021,-0.194115937,-0.292020112
t_4d98c95e-7603-4b93-9248-46374e54c3a3,165.3066711,1981,90.2106577,0.274951786,0.442651302,0.423592746,0.636690199,6.740710258,0.446609169,1.016052246,0.006404317,0,0.3610484,-11.36499977,0.540145993,major,0.378856301,0.029035894,120.0130005,4,0.600775123,0.128460452,-0.283757448,0.040339828,0.09289448,0.701371551,-0.036132883,-0.400672227,-0.842318356
t_051c4a52-d5c3-41fb-b58a-442bebd18c1d,887.0930786,1969,94.0966912,0.813779116,0.358763665,0.374318719,0.385237932,6.615695953,0.093314126,1.041603446,0.001231058,0,0.184462994,-17.60099983,0.0867052,major,0.864969313,0.031156674,101.1549988,4,0.250537634,0.233503863,-0.336849183,-0.252131104,0.046434391,0.443591952,-0.073517956,-0.198381901,-0.350347281
t_1bce88df-c40f-4e14-b5e4-b388ecd73f0e,179.9333344,1987,95.10759987,0.936434209,0.400297016,0.375387609,0.396924943,6.266373634,0.026362516,1.063799977,0.779678583,0,0.114128463,-24.86000061,0.146226421,major,0.896057546,0.032204602,83.83300018,3,0.092211403,0.747910798,-0.703249156,-0.015132526,0.197216913,-0.203761488,-0.042693183,-0.036536843,0.023819193
t_b0041e52-b863-4afd-af7a-5d10fa59798e,258.0666809,1977,98.35288516,0.540157199,0.477390617,0.496326774,0.684570849,7.74067688,0.606815517,0.970334947,4.43E-05,0,0.328095168,-10.47999954,0.610204101,major,0.471015185,0.089646697,132.3480072,4,0.817385256,-0.178863525,-0.22234492,0.442650855,0.280358613,0.039848104,-0.008675267,-0.092253476,-0.314986557
t_759e99ab-8d60-425a-9bcc-d32ac6269011,335.3333435,1983,92.54287,0.435414523,0.476094961,0.458355188,0.603183866,7.059654713,0.94033283,0.845275879,1.80E-05,0,0.286879539,-9.715999603,0.449760765,major,0.496159762,0.065953322,130.2610016,4,0.519270599,-0.07803762,-0.475598842,0.317281276,0.362404883,0.427256405,-0.107511938,-0.323102355,-0.512242973
t_adf331ea-6a03-4c89-95dc-2e8556e5ff79,276.7600098,1970,94.3884226,0.265689224,0.408814013,0.374157608,0.441371471,6.157108784,0.489527464,0.994436085,0.001062085,0,0.206891552,-15.89900017,0.211940303,major,0.588059902,0.115702592,90.58699799,4,0.569533408,-0.040970068,-0.301072747,0.15638195,0.279883474,0.4513008,-0.176331267,-0.244300038,-0.703172922
t_c297cb49-ac92-4dbf-8bfa-9bb60153214c,156.3333282,1985,91.55793815,0.909402609,0.283391953,0.296378255,0.285556734,5.925230026,0.076559052,0.962445199,0.033973552,0,0.118182153,-24.86100006,0.26111111,major,0.828543901,0.044254489,167.7429962,3,0.406675845,0.379383743,-0.758346021,-0.479824156,0.724057972,-0.021251187,-0.822097421,0.277024269,-0.835351408
t_9433b75d-3f80-49f0-9ed1-81ea1693fdd0,253.7333374,1975,96.66898524,0.649005175,0.380681306,0.362430662,0.448347807,6.21931076,0.210338295,1.03054595,0.780849457,0,0.079132579,-16.66600037,0.214833766,major,0.720310271,0.03065343,107.8580017,4,0.131520763,0.134169281,-0.236575499,0.173629194,-0.044647548,0.503118515,0.09609092,-0.334258646,-0.482919574
t_1895a3f0-ad68-4dae-9fe4-0adbb817523f,238.9199982,1969,95.42338609,0.541451693,0.569606125,0.520405829,0.586344957,7.293737411,0.218067288,1.04300499,0.000963038,0,0.045914255,-15.59700012,0.309523821,major,0.620454371,0.035600562,72.2009964,4,0.408020765,0.012962415,-0.410707563,0.082692288,0.265721917,0.649542451,-0.123909801,-0.399265975,-0.80213666
t_9c8f9369-f6b2-46d1-a912-25791c4d41ed,233.3066711,1985,97.12056634,0.672022402,0.324223518,0.299236238,0.32828331,5.609802246,0.250579625,1.032989502,0.881293535,0,0.097813234,-17.52799988,0.129870132,major,0.777412415,0.029296111,70.49500275,4,0.371954709,0.361610442,-0.968173027,0.220111236,0.715885222,0.098562822,-0.286041886,-0.125187293,-0.182611927
t_7b3feece-ffa1-42b4-8b4d-953d52255649,627.1066895,1981,98.89143257,1.27E-05,0.174751863,0.160063326,0.286351353,4.473617554,0.673012853,1.002466798,0.854751348,0,0.071103856,-5.75,0.620141327,major,0.268600643,0.034267753,184.2649994,4,0.280254066,0.162696347,-0.008031086,-0.400681615,-0.262316138,0.59329778,0.047548171,-0.286944985,0.211002737
t_02007b79-eabd-4bf8-9b96-c8ff498116f0,205.9466705,1969,95.29614615,0.833600402,0.421837747,0.408656925,0.490357578,6.665884018,0.348419189,1.018091679,0.001633719,0,0.096703358,-10.20899963,0.217573225,major,0.808418572,0.028704433,79.80599976,4,0.478961974,0.107605904,-0.417309791,0.076626055,0.354165733,0.632649183,-0.224827543,-0.202380642,-0.92691946
t_61083d3a-66aa-48f8-87f5-1d0610756c85,193.5866699,1968,97.075971,0.297530442,0.517906964,0.53753978,0.556120813,8.143503189,0.299256593,1.007250667,0.063138835,0,0.068107687,-13.98700047,0.237903222,major,0.578496277,0.030736877,91.95700073,4,0.370929807,0.057994206,-0.528120399,0.077575468,0.405893594,0.389827073,-0.187695697,-0.192816883,-0.302140594
t_ac19eb36-5dab-4330-a893-baab1965c5ab,294.9733276,1958,97.77040025,0.925688028,0.525898695,0.667479932,0.585629523,10.89637852,0.113178991,1.046999574,0.889363408,0,0.107497968,-17.60099983,0.203883499,major,0.863336504,0.063337795,144.6860046,4,0.583558798,0.417151362,-1.070253134,0.15038918,0.682497501,0.172349453,-0.273541927,-0.338278919,-0.042996477
t_20536679-e614-416b-a223-4276ddb6cc46,377.5866699,1965,91.4165011,0.830360413,0.342407763,0.420515656,0.458374947,7.477561951,0.136825189,0.981617153,1.10E-08,0,0.633621335,-18.27799988,0.120056495,major,0.855511248,0.052380331,129.0399933,4,0.489982724,0.16343917,-0.662191749,-0.15385744,0.710022271,0.100631557,-0.654595494,0.117282376,-0.800784767
t_041cbab4-63e3-47de-88c8-fd1c394ae21e,240.1600037,1984,98.71868533,0.211203873,0.481828064,0.445999712,0.668108582,6.770323277,0.609446824,0.999412417,2.74E-09,0,0.562581182,-7.46999979,0.72361809,major,0.245961413,0.045835789,116.0410004,4,0.389972895,0.081786796,0.077481411,-0.164847821,-0.327847034,0.473801911,0.079007685,-0.29731679,-0.317865133
t_bc37059c-dde4-4786-ba1e-2975bcad030e,311.5733337,1985,98.46913993,0.126966387,0.726824582,0.78880471,0.865406513,12.03971577,0.836749554,0.961603165,0.0011299,0,0.563789546,-7.597000122,0.533834577,major,0.34163624,0.070203997,115.5210037,4,0.940862656,-0.182965547,-0.087395817,0.335741282,0.103366025,0.07778611,0.038260732,-0.118337266,-0.169819683
t_56d8d7fa-e408-424c-8574-ac774f1c133b,163.6399994,1975,94.27742882,0.118045524,0.37364313,0.383160681,0.368853837,6.643404961,0.433674783,1.038381457,0.899084032,0,0.113641039,-12.09300041,0.161016956,major,0.599094033,0.028803617,106.2509995,4,0.252834469,0.43473509,-0.578054845,-0.102988392,0.241647094,0.227728993,-0.043647896,-0.06868054,-0.295578897
t_3dfd4858-d97a-4569-9066-2e262708c9d8,357.8933411,1988,92.63983877,0.074874274,0.302631855,0.333235294,0.390705884,6.374113083,0.878959656,0.837297499,0.656288981,0,0.115548909,-12.39500046,0.118840583,major,0.625319123,0.282701999,66.27400208,4,0.069974773,0.226068571,-0.234225541,-0.370569468,0.023440082,0.023269944,-0.044621661,-0.047607131,0.416036963
t_b93dafed-2578-45e8-870c-d239db596e09,388,1981,92.11121342,0.013815114,0.715323985,0.753142416,0.740046322,10.9812479,0.602778018,0.971716642,0.000934344,0,0.070035696,-10.48700047,0.467473537,major,0.376679778,0.079736926,118.1050034,4,0.687611341,-0.236812592,-0.167179793,0.430137873,0.140554935,-0.17008391,0.091916747,-0.131024033,0.110397056
t_5a68981f-0053-4384-ae2b-4fb26b894a8a,337.3453064,1982,96.07502137,0.007229947,0.491409272,0.494035542,0.635929406,7.573514938,0.676558435,0.979536533,0.000309794,0,0.062043253,-9.366000175,0.845070422,major,0.109670974,0.03167576,143.9940033,4,0.408104211,0.108529612,0.055120755,0.196487784,-0.08124426,0.258598387,0.021040706,0.056432419,-0.453179926
t_7a46e042-6c15-47fc-a4cf-50e6cad7513e,144.6323395,1978,99.8163673,0.894765198,0.487343073,0.631570339,0.570519924,10.36367702,0.13447465,1.054685473,4.20E-08,0,0.110867433,-14.64999962,0.150170654,major,0.872586548,0.070380323,141.2310028,4,0.459005624,-0.095598273,-0.162012845,0.134575337,0.534658253,0.573903501,-0.205677703,0.472441792,-0.374660611
t_d19c78e9-ebc8-4110-9205-bba4fe422ebf,215.7333374,1988,95.1434328,0.496408641,0.264680445,0.201971516,0.117089488,4.122107983,0.181283608,1.03879106,0.017963689,0,0.09992934,-16.28100014,0.269230783,major,0.624678016,0.030011402,68.74299622,4,0.234888703,0.534823537,-0.502167821,0.064784653,0.268631488,-0.16924502,-0.149201781,0.176356643,-0.205827534
t_d18213fd-d860-49f3-b79a-16510b87dcb1,359.5733337,1971,97.17117539,0.833935201,0.635645568,0.684459031,0.712289691,10.10775375,0.25301522,1.020546794,0.626170397,0,0.113786459,-18.97699928,0.263650537,major,0.786656976,0.073513888,121.1429977,4,0.577109396,0.130282268,-0.474564403,-0.021177776,0.192292511,0.447783321,-0.148114353,-0.351074338,-0.536556184
t_47e83b2d-45c2-4b1a-9001-dce4b6909aff,239.8800049,1983,94.7380731,0.007153271,0.55871284,0.562543035,0.666451931,8.241106987,0.511637568,0.990849972,0.00079279,0,0.130548432,-9.461999893,0.635437906,major,0.257833958,0.03854828,142.0800018,4,0.864851415,0.137534246,-0.097746141,0.038934298,-0.108404562,0.409093201,0.048629142,-0.215293765,-0.350385189
t_08b34a82-2afe-4a62-8277-37717af9ce10,283.5733337,1988,92.30686226,0.597418547,0.38625586,0.322849125,0.435163856,5.364158154,0.166154459,1.032280922,1.16E-07,0,0.095729962,-19.02700043,0.231770828,major,0.688144267,0.028276019,95.68699646,4,0.168033212,0.004334038,-0.199118614,0.281056225,0.255547374,0.147605821,-0.142920509,-0.016657943,-0.664677203
t_2658c469-9aad-4ace-bc34-2e1f975b40af,204.1333313,1973,96.17266887,0.951940596,0.744344175,0.860587001,0.72445339,17.80692673,0.150639549,0.981310189,1.91E-12,0,0.585858762,-16.02199936,0.164000005,major,0.895847857,0.366432875,84.6269989,4,0.673208296,0.125540689,-0.502230585,-0.373241037,0.50151217,0.426378667,-0.467487931,0.031821866,-0.700624764
t_26d3c37c-bb76-4124-800e-f62b8b468909,151.2133331,1970,97.4799105,0.116152346,0.310833931,0.269654304,0.456972837,5.168159008,0.57783705,0.982438564,0.025207696,0,0.363046616,-10.84300041,0.309523821,major,0.495100349,0.035168424,114.7870026,3,0.613147259,-0.05500669,-0.398776412,0.165469661,0.434788436,0.512735724,-0.205821693,-0.068961672,-0.583778322
t_3547f49f-ed5b-48d1-9263-c1236cfd70b7,117.4000015,1972,98.44254871,0.993475497,0.565743029,0.658124387,0.648529172,10.23108578,0.179684803,0.990142047,0.063498572,0,0.142837957,-23.41200066,0.281938314,major,0.86677736,0.067838967,130.5240021,3,0.960529625,0.190704033,-0.795160294,-0.136385143,0.558580697,0.454909772,-0.408849239,-0.346492946,-0.524139106
